Date,Open,High,Low,Close,Volume,Adj Close
2017-03-10,45.07,45.07,45.07,45.07,000,45.07
2017-03-09,44.849998,44.849998,44.849998,44.849998,000,44.849998
2017-03-08,44.900002,44.900002,44.900002,44.900002,000,44.900002
2017-03-07,44.889999,44.889999,44.889999,44.889999,000,44.889999
2017-03-06,45.049999,45.049999,45.049999,45.049999,000,45.049999
2017-03-03,45.18,45.18,45.18,45.18,000,45.18
2017-03-02,45.16,45.16,45.16,45.16,000,45.16
2017-03-01,45.389999,45.389999,45.389999,45.389999,000,45.389999
2017-02-28,44.84,44.84,44.84,44.84,000,44.84
2017-02-27,45.080002,45.080002,45.080002,45.080002,000,45.080002
2017-02-24,45.119999,45.119999,45.119999,45.119999,000,45.119999
2017-02-23,44.869999,44.869999,44.869999,44.869999,000,44.869999
2017-02-22,44.73,44.73,44.73,44.73,000,44.73
2017-02-21,44.66,44.66,44.66,44.66,000,44.66
2017-02-17,44.380001,44.380001,44.380001,44.380001,000,44.380001
2017-02-16,44.330002,44.330002,44.330002,44.330002,000,44.330002
2017-02-15,44.25,44.25,44.25,44.25,000,44.25
2017-02-14,43.950001,43.950001,43.950001,43.950001,000,43.950001
2017-02-13,43.830002,43.830002,43.830002,43.830002,000,43.830002
2017-02-10,43.66,43.66,43.66,43.66,000,43.66
2017-02-09,43.66,43.66,43.66,43.66,000,43.66
2017-02-08,43.060001,43.060001,43.060001,43.060001,000,43.060001
2017-02-07,42.849998,42.849998,42.849998,42.849998,000,42.849998
2017-02-06,42.830002,42.830002,42.830002,42.830002,000,42.830002
2017-02-03,42.990002,42.990002,42.990002,42.990002,000,42.990002
2017-02-02,42.200001,42.200001,42.200001,42.200001,000,42.200001
2017-02-01,42.23,42.23,42.23,42.23,000,42.23
2017-01-31,42.439999,42.439999,42.439999,42.439999,000,42.439999
2017-01-30,42.810001,42.810001,42.810001,42.810001,000,42.810001
2017-01-27,43.220001,43.220001,43.220001,43.220001,000,43.220001
2017-01-26,43.25,43.25,43.25,43.25,000,43.25
2017-01-25,43.720001,43.720001,43.720001,43.720001,000,43.720001
2017-01-24,43.380001,43.380001,43.380001,43.380001,000,43.380001
2017-01-23,43.009998,43.009998,43.009998,43.009998,000,43.009998
2017-01-20,43.189999,43.189999,43.189999,43.189999,000,43.189999
2017-01-19,43.049999,43.049999,43.049999,43.049999,000,43.049999
2017-01-18,43.119999,43.119999,43.119999,43.119999,000,43.119999
2017-01-17,42.990002,42.990002,42.990002,42.990002,000,42.990002
2017-01-13,43.220001,43.220001,43.220001,43.220001,000,43.220001
